ID,Name,Status,Original German,Founding year,Founder,Linkedin-Account Founder,Legal Name,Legal form,Street,Postal code,City,Country,Register Number/ Company ID/ LEI,Segment,Subsegment,Bank Cooperation,Homepage,E-Mail,Insolvency,Liquidation,Date of inactivity,Local court,Former name
20,bettervest,1,1.0,2012.0,Torsten Schreiber; Patrick Mijnals; Marilyn Heib; Evgenij Terehov,https://www.linkedin.com/in/torstenschreiber/; https://www.linkedin.com/in/patrickmijnals/; https://www.linkedin.com/in/marilyn-heib-8b973312/; https://www.linkedin.com/in/evgenij/,bettervest GmbH ,GmbH,Falkstraße 5,60487,Frankfurt am Main,Germany,HRB 95811,Financing,Crowdinvesting,0,https://www.bettervest.com/de/,mail@bettervest.com,0,0,,Frankfurt am Main,
21,Companisto,1,1.0,2012.0,David Rhotert; Tamo Zwinge,https://www.linkedin.com/in/david-rhotert-51228192/; https://www.linkedin.com/in/tamo-zwinge-6b956689/,Companisto GmbH,GmbH,Köpenicker Str. 154,10997,Berlin,Germany,HRB 132811 B,Financing,Crowdinvesting,0,https://www.companisto.com/de,info@companisto.com,0,0,,Berlin (Charlottenburg),
22,Conda,1,0.0,2014.0,Daniel Horak; Paul Pöltner,https://www.linkedin.com/in/danielhorak/; https://www.linkedin.com/in/poeltner/,CONDA Deutschland Crowdinvesting GmbH,GmbH,Brabanter Straße 4,80805,München,Germany,HRB 214543,Financing,Crowdinvesting,0,https://www.conda.de/,team@conda.de,0,0,,München,Mash-Up
23,CrowdPartner,1,1.0,2017.0,Hubert Altenried,https://www.linkedin.com/in/hubert-altenried-a43311bb/,CrowdPartner GmbH,GmbH,Edelweißstrasse 9,88317,Aichstetten,Germany,HRB 734893,Financing,Crowdinvesting,0,https://www.crowdpartner.de/,altenried@crowdpartner.de,0,0,,Ulm,
24,dagobertinvest,1,0.0,2016.0,Andreas Zederbauer,https://www.linkedin.com/in/andreas-zederbauer-9a644a15b/,dagobertinvest GmbH,GmbH,Wohllebengasse 12-14,1040,Wien,Austria,FN 444877 g,Financing,Crowdlending,0,https://www.dagobertinvest.at/,andreas.zederbauer@dagobertinvest.at,0,0,,0,
25,Deutsche Crowdinvest,0,1.0,2017.0,,,Deutsche Crowdinvest GmbH,GmbH,Eisenbahnstraße 66,66117,Saarbrücken,Germany,HRB 104108,Financing,Crowdinvesting,0,https://www.deutsche-crowdinvest.de/start,info@deutsche-crowdinvest.de,0,1,,Mannheim,
26,ecoligo.investments,1,1.0,2017.0,Markus Schwaninger; Martin Baart,https://www.linkedin.com/in/markusschwaninger; https://www.linkedin.com/in/martinbaart,ecoligo invest GmbH,GmbH,Baseler Str. 10,60329,Frankfurt am Main,Germany,HRB 109775,Financing,Crowdinvesting,0,https://www.ecoligo.investments,your@ecoligo.investments,0,0,,Frankfurt am Main,
27,Econeers,1,1.0,2013.0,Jens Uwe Sauer,https://www.linkedin.com/in/juwes,OneCrowd Loans GmbH,GmbH,Käthe-Kollwitz-Ufer 79,01309,Dresden,Germany,HRB 27674,Financing,Crowdinvesting,0,https://www.econeers.de/,info@econeers.de,0,0,,Dresden,
28,Finnest,1,0.0,2014.0,Günther Lindenlaub,https://www.linkedin.com/in/guenther-lindenlaub-5141219a/,Finnest GmbH,GmbH,Schleifmühlgasse 6-8,1040,Wien,Austria,FN 418310m,Financing,Crowdlending,0,https://www.finnest.com/,guenther.lindenlaub@finnest.com,0,0,,0,
29,finteo,1,1.0,2019.0,Geng Jun Wu,https://www.linkedin.com/in/geng-jun-wu-63529158/,Finteo GmbH,GmbH,Hubertusallee 32,14193,Berlin,Germany,HRB 205814 B,Financing,Crowdinvesting,0,https://finteo.de/,info@finteo.de,0,0,,Berlin (Charlottenburg),
30,FunderNation,1,1.0,2014.0,Uli Fricke; Bernd Geiger,https://www.linkedin.com/in/uli-fricke-005991/; https://www.linkedin.com/in/dr-bernd-geiger-655984/,FunderNation GmbH,GmbH,Wilhelm-Leuschner-Strasse 7,64614,Bensheim-Auerbach,Germany,HRB 93283,Financing,Crowdinvesting,0,https://www.fundernation.eu/,Uli.Fricke@FunderNation.eu,0,0,,Darmstadt,
31,Geldwerk1,1,1.0,2015.0,Ralf Beck,https://www.linkedin.com/in/ralf-beck-6603259b/,Geldwerk1 GmbH,GmbH,An der Palmweide 55,44227,Dortmund,Germany,HRB 27442,Financing,Crowdinvesting,0,https://www.geldwerk1.de/,service@geldwerk1.de,0,0,,Dortmund,
32,GLS Crowd,1,1.0,2017.0,,,GLS Crowdfunding GmbH,GmbH,Baseler Str. 10,60329,Frankfurt am Main,Germany,HRB 106668,Financing,Crowdinvesting,0,https://www.gls-crowd.de/,kontakt@gls-crowd.de,0,0,,Frankfurt am Main,
33,green rocket,1,0.0,2013.0,Wolfgang Deutschmann; Peter Garber,https://www.linkedin.com/in/wolfgangdeutschmann/,GREEN ROCKET Deutschland GmbH,GmbH,Seeholzenstraße 2a,82166,Gräfeling,Germany,HRB 229313,Financing,Crowdinvesting,0,https://www.greenrocket.de/,deutschmann@greenrocket.com,0,0,,München,
34,Grundag,1,1.0,2017.0,Johannes Laub; Jamal El Mallouki,https://www.linkedin.com/in/johannes-laub/; https://www.linkedin.com/in/jamalelmallouki/,GRUNDAG Crowdfunding Services GmbH,GmbH,Baseler Str. 10,60329,Frankfurt am Main,Germany,HRB 103545,Financing,Crowdlending,0,https://www.grundag.de/,kontakt@grundag.de,0,0,,Frankfurt am Main,geldzugrün
35,HOME ROCKET,1,0.0,2016.0,Wolfgang Deutschmann; Peter Garber,https://www.linkedin.com/in/wolfgangdeutschmann/,HOME ROCKET Deutschland GmbH,GmbH,Seeholzenstraße 2a,82166,Gräfeling,Germany,HRB 225970,Financing,Crowdlending,0,https://www.homerocket.de/,garber@homerocket.com,0,0,,München,
36,immofunding,1,0.0,2015.0,Stefan Peirleitner; Michael Reckendorfer ,https://www.linkedin.com/in/stefan-peirleitner-b25419123/,IMMOFUNDING GmbH,GmbH,Baseler Straße 10,60329,Frankfurt am Main,Germany,HRB 108579,Financing,Crowdlending,0,https://www.immofunding.com/,contact@immofunding.com,0,0,,Frankfurt am Main,
37,InvestoFolio,0,1.0,2015.0,Johannes Hillmann; Ralf Schepers; Ralf Köhler,,DikoBa Financing & Consulting GmbH,GmbH,Sontraer Str. 17,60386,Frankfurt am Main,Germany,HRB 101783,Financing,Crowdlending,0,https://www.investofolio.de/,ap@investofolio.de,0,0,,Königstein im Taunus,immo-folio
38,KATRIM,1,1.0,2008.0,,,Mplus SELV AG,AG,Bahnhofplatz 9,82131,Gauting b. München,Germany,HRB 172867,Financing,Crowdinvesting,0,https://www.katrim.de/,info@mplus-selv.de,0,0,,München,
39,medifundo,1,1.0,2016.0,Marcus Irsfeld; Peter Biewald,https://www.linkedin.com/in/marcus-irsfeld-64b94b6/,medifundo GmbH & Co. KG,GmbH & Co. KG,Behamstraße 17,80687,München,Germany,HRB 225227,Financing,Crowdinvesting,0,https://www.medifundo.de/,peter.biewald@medifundo.de,0,0,,München,
40,Mezzany,1,1.0,2015.0,Jens Uwe Sauer,https://www.linkedin.com/in/juwes,OneCrowd Securities GmbH,GmbH,Käthe-Kollwitz-Ufer 79,01309,Dresden,Germany,HRB 27674,Financing,Crowdlending,0,https://www.mezzany.com/,info@mezzany.com,0,0,,Dresden,
41,reacapital,1,1.0,2016.0,Lasse Kammer,https://www.linkedin.com/in/lasse-kammer-a0276a156/,REABIZ Crowd Capital GmbH,GmbH,Fuhlsbüttler Straße 29,22305,Hamburg,Germany,HRB 138366,Financing,Crowdlending,0,https://reacapital.de/,info@reacapital.de,0,0,,Hamburg,
42,Renditefokus,1,1.0,2015.0,Firmengruppe Stark,,Renditefokus GmbH,GmbH,Bahnhofsplatz 18,82110,Germering bei München,Germany,HRB 218604,Financing,Crowdlending,0,https://renditefokus.de/,info@renditefokus.de,0,0,,München,
43,Rendity,1,0.0,2015.0,Lukas Müller; Tobias Leodolter; Paul Brezina,https://www.linkedin.com/in/tobias-leodolter-8b672977/; https://www.linkedin.com/in/lukasmueller90/,Rendity Deutschland GmbH,GmbH,Theresienstraße 66,80333,München,Germany,HRB 237978,Financing,Crowdlending,0,https://www.rendity.com/,hello@rendity.com,0,0,,München,
44,Seedmatch,1,1.0,2009.0,Jens Uwe Sauer,https://www.linkedin.com/in/juwes,OneCrowd Loans GmbH,GmbH,Käthe-Kollwitz-Ufer 79,01309,Dresden,Germany,HRB 27674,Financing,Crowdinvesting,1,https://www.seedmatch.de/,info@seedmatch.de,0,0,,Dresden,
45,aaris c2,1,1.0,2016.0,,,FunderNation GmbH,GmbH,Wilhelm-Leuschner-Strasse 7,64614,Bensheim-Auerbach,Germany,HRB 93283,Financing,Crowdinvesting,0,https://www.aaris-c2.com/,uli.fricke@fundernation.eu,0,0,,Darmstadt,spacestarters
46,transvendo,1,1.0,2016.0,Sven Kirchberg; Cirino Marino,https://www.linkedin.com/in/sven-kirchberg-65a78b132/; https://www.linkedin.com/in/cirino-marino-2499a37a/,Transvendo GmbH & Co. KG,GmbH & Co. KG,Würmstraße 55,82166,München,Germany,HRA 105939,Financing,Crowdinvesting,0,http://www.transvendo.investments/,kontakt@transvendo.de,0,0,,München,
47,Xavin,1,1.0,2017.0,Nina Gladen; Tobias Ungerer,https://www.linkedin.com/in/nina-gladen-2a31a9171; https://www.linkedin.com/in/tobias-ungerer-728a36155,Xavin GmbH,GmbH,Lautenschlagerstraße 16,70173,Stuttgart,Germany,HRB 765533,Financing,Crowdinvesting,0,https://www.xavin.eu/,info@xavin.eu,0,0,,Stuttgart,
48,YouCan2,1,1.0,2014.0,Ingolf Ruh,https://www.linkedin.com/in/ingolfruh/,YOUCAN GmbH,GmbH,Under den Weinbergen 43,71065,Sindelfingen,Germany,HRB 747516,Financing,Crowdinvesting,0,http://www.youcan2.de/business/,TEAM@YOUCAN2.DE,0,0,2019-11-14 00:00:00,Stuttgart,
49,YouCan2,1,1.0,2014.0,Ingolf Ruh,https://www.linkedin.com/in/ingolfruh/,YOUCAN GmbH,GmbH,Under den Weinbergen 43,71065,Sindelfingen,Germany,HRB 747516,Financing,Reward-based Crowdfunding,0,http://www.youcan2.de/crowd/,TEAM@YOUCAN2.DE,0,0,2019-11-14 00:00:00,Stuttgart,
50,zinsbaustein.de,1,1.0,2016.0,Frank Noe; Matthias Lissner; Steffen Harting,https://www.linkedin.com/in/frank-noé-6636983/; https://www.linkedin.com/in/matthiaslissner; https://www.linkedin.com/in/steffenharting/,Zinsbaustein GmbH,GmbH,Stresemannstraße 123,10963,Berlin,Germany,HRB 167188 B,Financing,Crowdlending,0,https://www.zinsbaustein.de/,service@zinsbaustein.de,0,0,,Berlin (Charlottenburg),
51,ZINSLAND,1,1.0,2014.0,Carl-Friedrich v. Stechow; Moritz Eversmann; Stefan Wiskemann,https://www.linkedin.com/in/carl-von-stechow-mrics-4a0585a6/; https://de.linkedin.com/in/moritz-eversmann-4729b21a; https://www.linkedin.com/in/stefanwiskemann,CIVUM GmbH,GmbH,Hopfensack 19,20457,Hamburg,Germany,HRB 133804,Financing,Crowdlending,0,https://www.zinsland.de,anlegerfragen@zinsland.de ,0,0,,Hamburg,
52,ecozins,1,1.0,2016.0,Isatu Waag,https://www.linkedin.com/in/isatu-waag-4b775218a/,AUDITcapital GmbH,GmbH,Pilgrimstein 35a,35037,Marburg,Germany,HRB 6799,Financing,Crowdlending,0,https://www.ecozins.de/,info@auditcapital.de,0,0,,Marburg,
53,Frankfurter Finanzanlagenvermittlung,1,1.0,2019.0,,,Frankfurter Finanzanlagenvermittlung GmbH,GmbH,Baseler Str. 10,60329,Frankfurt am Main,Germany,HRB 116134,Financing,Crowdlending,0,https://ffav.crowddesk.io/,kontakt@ffav.de,0,0,,Frankfurt am Main,
54,Lion Rocket,1,1.0,2017.0,Wolfgang Deutschmann,https://www.linkedin.com/in/wolfgangdeutschmann/,LION ROCKET Deutschland GmbH,GmbH,Seeholzenstraße 2a,82166,Gräfelfing,Germany,HRB 233702,Financing,Crowdlending,0,https://www.lionrocket.de/,office@lionrocket.com,0,0,,München,
55,Marvest,1,1.0,2018.0,Nikolaus Reus,https://www.linkedin.com/in/nikolaus-r-ba0268b0/,Marvest GmbH,GmbH,Elbchaussee 370,22609,Hamburg,Germany,HRB 150613,Financing,Crowdlending,0,https://www.marvest.de/,info@marvest.de,0,0,,Hamburg,
56,Moneywell,1,1.0,2017.0,Sabine Fuchs,https://www.linkedin.com/in/sabine-fuchs-18038522/,Moneywell GmbH,GmbH,Erlenstegenstraße 40,90491,Nürnberg,Germany,HRB 34469,Financing,Crowdlending,0,https://www.moneywell.de/,info@moneywell.de,0,0,,Nürnberg,
57,DKB Crowdfunding,1,1.0,2019.0,,,DKB Crowdfunding GmbH,GmbH,Baseler-Str. 10,60329,Frankfurt am Main,Germany,HRB 115401,Financing,Crowdfunding,1,https://www.dkb-crowdfunding.de/,kontakt@dkb-crowd.de,0,0,,Frankfurt am Main,
58,Debtvision,1,1.0,2018.0,Christoph Steinbrich,https://www.linkedin.com/in/christoph-steinbrich-398168b/,DEBTVISION GmbH,GmbH,Fritz-Elsas-Straße 31,70174,Stuttgart,Germany,HRB Nr. 765114,Financing,Crowdlending,1,https://www.debtvision.de/,service@debtvision.de,0,0,,Stuttgart,
59,vc trade,1,1.0,2016.0,Stefan Fromme; Tobias Zöller; Dr. Sebastian Glock,https://www.linkedin.com/in/stefan-fromme-4626b2172/; https://www.linkedin.com/in/tobias-z%C3%B6ller-b15ba1179/; https://www.linkedin.com/in/sebastianglock/,vc trade GmbH,GmbH,Mainzer Landstraße 49,60329,Frankfurt am Main,Germany,HRB 113059,Financing,Credit and Factoring,0,https://www.vc-trade.de,info@vc-trade.de,0,0,,Frankfurt am Main,
60,Bambus Immobilien,1,1.0,2018.0,Franz Hoerhager; Patrick Wollner,https://www.linkedin.com/in/franz-hoerhager/; https://www.linkedin.com/in/pwollner/,Bambus Immobilien GmbH,GmbH,Luise-Ulrich-Straße 20,80636,München,Germany,HRB 201351 B,Financing,Credit and Factoring,1,https://www.bambus.io,beratung@bambus.io,0,0,,Berlin (Charlottenburg),
61,creditshelf,1,1.0,2014.0,Tim Thabe; Daniel Bartsch,https://www.linkedin.com/in/tim-thabe-9935643/; https://www.linkedin.com/in/dr-daniel-bartsch-1960387a/,creditshelf Aktiengesellschaft,AG,Mainzer Landstraße 33a ,60329,Frankfurt am Main,Germany,HRB 112087,Financing,Crowdlending,1,https://www.creditshelf.com/de/,info@creditshelf.com,0,0,,Frankfurt am Main,
62,Engel_Völkers Capital,1,1.0,2017.0,,,EVC Crowdinvest GmbH,GmbH,Joachimsthaler Str. 12,10719,Berlin,Germany,HRB 188794 B,Financing,Crowdlending,0,https://www.ev-digitalinvest.de/?rebrand=1&#/portal,info@ev-digitalinvest.de,0,0,,Berlin (Charlottenburg),
63,Firstwire,1,1.0,2015.0,Michael Dreiner; Johannes Haidl,https://www.linkedin.com/in/michael-dreiner-5b57a696/; https://www.linkedin.com/in/johannes-haidl-417779221/,firstwire GmbH,GmbH,Carlswerkstr. 13d,51063,Köln,Germany,HRB 84989,Financing,Crowdlending,0,https://firstwire.market/de/,info@firstwire.market,0,0,,Köln,
64,Funding Circle,1,1.0,2010.0,Samir Desai; Andrew Mullinger; James Meekings,https://www.linkedin.com/in/samirdesaiuk/; https://www.linkedin.com/in/mullinger/; https://www.linkedin.com/in/jamesmeekings/,Funding Circle Deutschland GmbH,GmbH,Bergmannstraße 72,10961,Berlin ,Germany,HRB 151217 B,Financing,Crowdlending,1,https://www.fundingcircle.com/de/,info@fundingcircle.de,0,0,,Berlin (Charlottenburg),
65,GreenVesting,1,1.0,2012.0,Peter Walburg,https://www.linkedin.com/in/peter-walburg-10548134/,GreenVesting Solutions GmbH,GmbH,Zimmermannstr. 1,35091,Cölbe,Germany,HRB 12315,Financing,Crowdinvesting,0,https://www.greenvesting.com/,info@greenvesting.com,0,0,,Bad Homburg v.d.H.,
66,iFunded,1,1.0,2016.0,Michael Stephan,https://www.linkedin.com/in/michaelstephan/,iEstate GmbH,GmbH,Uhlandstraße 175,10719,Berlin,Germany,HRB 163949 B,Financing,Crowdlending,0,https://ifunded.de/de/,info@ifunded.de,0,0,,Berlin (Charlottenburg),
67,Klimaschwarm,1,1.0,2017.0,,,eco:finance GmbH,GmbH,Pödeldorfer Straße 20,96052,Bamberg,Germany,HRB 8890,Financing,Crowdinvesting,0,http://www.klimaschwarm.de/,info@klimaschwarm.de,0,0,,Bamberg,
68,LeihDeinerStadtGeld,1,1.0,2011.0,Johannes Laub; Jamal El Mallouki,https://www.linkedin.com/in/johannes-laub/; https://www.linkedin.com/in/jamalelmallouki/,CrowdDesk GmbH,GmbH,Baseler Str. 10,60329,Frankfurt am Main,Germany,HRB 102616,Financing,Crowdlending,0,https://www.leihdeinerstadtgeld.de/,kontakt@LeihDeinerStadtGeld.de,0,0,,Frankfurt am Main,
69,LeihDeinerUmweltGeld,1,1.0,2013.0,Johannes Laub; Jamal El Mallouki,https://www.linkedin.com/in/johannes-laub/; https://www.linkedin.com/in/jamalelmallouki/,CrowdDesk GmbH,GmbH,Baseler Str. 11,60329,Frankfurt am Main,Germany,HRB 102617,Financing,Crowdlending,0,https://www.leihdeinerumweltgeld.de/,Elmallouki@LeihDeinerUmweltGeld.de,0,0,,Frankfurt am Main,
70,Lendico,1,1.0,2013.0,Dominik Steinkuehler; Christoph Samwer; Clemens Paschke; Friedrich Hubel,https://www.linkedin.com/in/dr-dominik-steinkuehler-ab18263/; https://www.linkedin.com/in/dr-christoph-samwer-23b4206b/; https://www.linkedin.com/in/clemens-paschke-04327a7b/; https://www.linkedin.com/in/friedrich-h-64115336/;,Lendico Deutschland GmbH,GmbH,Lobeckstraße 36-40,10969,Berlin,Germany,HRB 140644B,Financing,Crowdlending,1,https://www.lendico.de/,info@lendico.de,0,0,,Berlin (Charlottenburg),
71,Lightfin,1,1.0,2013.0,Kay-Michael Schanz; Martin Bartels; Bernd Freisleben,https://www.linkedin.com/in/dr-kay-michael-schanz-45bb4715/,LightFin GmbH ,GmbH,Ulmenstraße 22,60325,Frankfurt am Main,Germany,HRB 8478,Financing,Crowdinvesting,0,https://www.lightfin.de/,info@lightfin.de,0,0,,Königstein im Taunus,
72,sarego,1,1.0,2016.0,Max Sayn-Wittgenstein,https://www.linkedin.com/in/maximilian-sayn-wittgenstein-a0b981b/,Sarego GmbH,GmbH,Alteburger Strasse 373,50968,Köln,Germany,HRB 89071,Financing,Crowdlending,0,https://www.sarego.de/,kontakt@sarego.de,0,0,,Köln,
73,Unternehmerich,1,1.0,2015.0,Fabian Holtkamp,https://www.linkedin.com/in/fabian-holtkamp/,UNIC AG,AG,Münchner Str. 19a,82319,Starnberg,Germany,HRB 215182,Financing,Crowdinvesting,0,https://unternehmerich.com/,service@unternehmerich.de,0,0,,München,
74,kapilendo AG,1,1.0,2015.0,Christopher Grätz,https://www.linkedin.com/in/christopher-gr%C3%A4tz-8b1b4690/,kapilendo AG,AG,Joachimsthaler Str. 30,10719,Berlin,Germany,HRB 165539 B,Financing,Crowdinvesting,0,https://www.kapilendo.de/,unternehmen@kapilendo.de ,0,0,,Berlin (Charlottenburg),venturate
75,kapilendo invest AG,1,1.0,2015.0,Christopher Grätz,https://www.linkedin.com/in/christopher-gr%C3%A4tz-8b1b4690/,kapilendo AG,AG,Joachimsthaler Str. 30,10719,Berlin,Germany,HRB 182950 B,Financing,Crowdinvesting,0,https://www.kapilendo.de/,unternehmen@kapilendo.de ,0,0,,Berlin (Charlottenburg),venturate
76,kapilendo Custodian AG,1,1.0,2015.0,Christopher Grätz,https://www.linkedin.com/in/christopher-gr%C3%A4tz-8b1b4690/,kapilendo AG,AG,Joachimsthaler Str. 30,10719,Berlin,Germany,HRB 180069 B,Financing,Crowdinvesting,0,https://www.kapilendo.de/,unternehmen@kapilendo.de ,0,0,,Berlin (Charlottenburg),venturate
77,Advanon,1,0.0,2015.0,"Phil Lojacono, Stijn Pieper, Philip Kornmann",https://www.linkedin.com/in/phillojacono/; https://www.linkedin.com/in/stijnpieper/; https://www.linkedin.com/in/philipkornmann/,Advanon AG,AG,Baslerstrasse 60,8048,Zürich,Switzerland,CHE-328.188.136,Financing,Credit and Factoring,1,https://www.advanon.com/de,info@advanon.com,0,0,2018-08-01 00:00:00,0,
